topic,term,beta
1,consumer,0.005084216199364369
2,consumer,0.008693062129764905
3,consumer,0.0033306076495980444
4,consumer,0.005962081297275833
5,consumer,0.004739288880561605
6,consumer,3.6167326880718465e-5
7,consumer,3.205002244994399e-4
8,consumer,0.0010132701417560493
9,consumer,1.9521303730671372e-4
1,design,0.02492567312369508
2,design,0.004956940036046828
3,design,0.03772010526267815
4,design,5.734163002550542e-4
5,design,0.017610749608107927
6,design,0.010932773542404364
7,design,0.019240692350364727
8,design,0.0024150342836312495
9,design,0.01543358406005354
1,economy,5.032125945771531e-4
2,economy,0.0027762523169328522
3,economy,0.0042928986701257724
4,economy,0.004373215746181383
5,economy,0.005553060254923523
6,economy,0.0033373788676815054
7,economy,0.0016330402228188392
8,economy,0.0013839553391108979
9,economy,0.004157640821399819
1,healthcare,0.004267802064815471
2,healthcare,0.012177737458515234
3,healthcare,0.001000313843474112
4,healthcare,0.010936705591897376
5,healthcare,0.0022085392819832916
6,healthcare,0.0055417284554120025
7,healthcare,0.006116614634336263
8,healthcare,0.005700323057464864
9,healthcare,0.004698117179917771
1,patient,6.302274281679024e-4
2,patient,0.002071522926956244
3,patient,0.005921529262713145
4,patient,0.006004788945212634
5,patient,0.006111173238143221
6,patient,0.010276752012955344
7,patient,0.0016273055695238236
8,patient,0.002281858633222441
9,patient,6.100248405844214e-4
1,perspectife,0.0014493186072270714
2,perspectife,4.199163475992468e-4
3,perspectife,9.326956269410015e-4
4,perspectife,9.517403237937521e-6
5,perspectife,6.047644852749921e-4
6,perspectife,7.586947491846365e-4
7,perspectife,0.002594072557791511
8,perspectife,4.8145335702541e-4
9,perspectife,2.62714669852397e-4
1,regulator,0.0017402066153590857
2,regulator,2.6242532377539825e-4
3,regulator,0.003477648089117084
4,regulator,1.7613097440049292e-4
5,regulator,3.3065840074420947e-4
6,regulator,0.0015670853281504417
7,regulator,9.418670845493454e-5
8,regulator,3.491975807855849e-4
9,regulator,0.0015635791933331178
1,adoption,0.007508201895619144
2,adoption,0.004747472143722521
3,adoption,0.005605727922854446
4,adoption,0.010617512543845423
5,adoption,3.7980181565397555e-4
6,adoption,0.010264389995684377
7,adoption,0.003158910663577578
8,adoption,0.006123411128000095
9,adoption,1.3351659764338156e-4
1,india,9.683979950021579e-4
2,india,3.2974876643621846e-4
3,india,0.0014362655025406193
4,india,0.0010659099255478424
5,india,0.0010870746890563917
6,india,2.2962691430583457e-4
7,india,0.0019961358071315374
8,india,2.1747019222622026e-4
9,india,1.811708897171901e-4
1,prospect,0.0024400339123459465
2,prospect,1.0802648894249085e-4
3,prospect,8.297706228167412e-4
4,prospect,4.600694083904517e-4
5,prospect,0.0013084493212061853
6,prospect,3.0813590727067804e-4
7,prospect,5.433612593024761e-4
8,prospect,0.001503697476839847
9,prospect,0.0013772511399936748
1,drawback,0.001021669478454035
2,drawback,3.052791636485944e-4
3,drawback,0.0010322517625377505
4,drawback,0.0011088551120303038
5,drawback,8.000226634453221e-4
6,drawback,0.002012093302837839
7,drawback,2.221266971092568e-4
8,drawback,9.178279405906545e-4
9,drawback,7.810543825234647e-4
1,compliance,0.0010072319775824828
2,compliance,0.003869979031779836
3,compliance,7.13124582817476e-4
4,compliance,0.0010944369012064713
5,compliance,0.00197448835439769
6,compliance,0.0015286295573946817
